player_name,pfr_id,position,weight_lbs,height_in,arm_length_in,hand_size_in,yard_40_dash_sec,yard_10_split_sec,cone_drill_sec,yard_20_shuttle_sec,vertical_jump_in,broad_jump_in,bench_press_reps
antoine cason,CasoAn99,cb,191.0,72.0,,,4.45,,,4.08,35.5,128.0,20.0
antoine green,GreeAn00,wr,199.0,72.0,32.125,9.0,4.47,1.54,6.99,4.27,33.5,123.0,
antoine winfield,WinfAn20,cb,176.0,60.0,,,4.41,,,3.95,37.0,122.0,
anton harrison,HarrAn00,ot,315.0,72.0,34.125,9.25,4.98,1.77,,,28.5,105.0,
antonio brown,BrowAn04,wr,186.0,60.0,31.0,9.0,4.56,,6.98,4.18,33.5,105.0,13.0
antonio bryant,BryaAn00,wr,188.0,72.0,,,4.57,,,,37.0,121.0,
antonio callaway,CallAn00,wr,200.0,60.0,31.5,9.5,4.41,,,,34.0,121.0,
antonio cromartie,CromAn20,cb,208.0,72.0,33.0,10.0,4.47,1.58,7.02,3.89,38.0,132.0,18.0
antonio dingle,DingAn20,dt,320.0,72.0,,,5.26,,,4.85,31.0,102.0,22.0
antonio gandy-golden,GandAn00,wr,223.0,72.0,31.75,9.625,4.6,,7.33,4.55,36.0,127.0,22.0
antonio garcia,GarcAn00,ot,302.0,72.0,33.375,9.875,5.15,,7.98,4.94,31.0,108.0,24.0
antonio johnson,JohnAn03,dt,310.0,72.0,,,5.15,,,4.49,29.0,108.0,28.0
antonio pittman,PittAn00,rb,207.0,60.0,,,4.4,,,4.16,35.5,123.0,16.0
anttaj hawthorne,HawtAn20,dt,325.0,72.0,,,5.23,,,4.72,27.0,100.0,21.0
antwaan randle el,RandAn00,wr,191.0,60.0,,,4.49,,,,,,
antwan peek,PeekAn20,olb,246.0,72.0,,,4.65,,,4.35,37.0,125.0,21.0
aqib talib,TaliAq99,cb,202.0,72.0,,,4.44,,,4.25,38.0,131.0,10.0
ardarius stewart,StewAr00,wr,204.0,60.0,32.5,9.375,4.49,,,,34.0,124.0,
arie kouandjio,KouaAr00,g,310.0,72.0,34.125,10.875,,,,,,,
arman shields,ShieAr00,wr,194.0,72.0,,,4.37,,,3.96,37.5,128.0,19.0
arnaz battle,BattAr00,wr,217.0,72.0,,,4.58,1.63,6.74,4.06,35.0,117.0,
arrelious benn,BennAr00,wr,219.0,72.0,32.25,9.375,4.57,1.55,6.78,4.32,37.0,118.0,20.0
arthur lynch,LyncAr00,te,258.0,72.0,32.5,10.125,4.82,,7.38,4.35,29.5,116.0,28.0
artie burns,BurnAr00,cb,193.0,72.0,33.25,9.5,4.46,1.56,6.96,4.33,31.5,124.0,7.0
asante samuel,SamuAs00,cb,180.0,60.0,30.125,8.875,4.41,1.5,6.98,4.09,35.0,124.0,12.0
asante samuel,SamuAs20,cb,185.0,60.0,,,4.49,,,4.14,35.5,120.0,9.0
asher allen,AlleAs99,cb,194.0,60.0,,,4.48,,,4.3,35.0,115.0,22.0
asim richards,RichAs00,ot,309.0,72.0,34.0,10.0,,,,,,,
atiyyah ellison,ElliAt00,dt,305.0,72.0,,,5.07,,,4.83,27.5,103.0,25.0
auden tate,TateAu00,wr,228.0,72.0,33.75,9.375,4.68,,,,31.0,112.0,
austin blythe,BlytAu00,c,291.0,72.0,30.25,9.375,5.36,1.8,7.52,4.53,27.5,99.0,29.0
austin collie,CollAu00,wr,200.0,72.0,31.0,9.0,4.56,,6.78,4.24,34.0,120.0,17.0
austin corbett,CorbAu00,g,306.0,72.0,33.125,10.5,5.15,,7.87,4.5,28.0,106.0,19.0
austin hooper,HoopAu00,te,254.0,72.0,33.75,10.625,4.72,1.63,7.0,4.32,33.0,117.0,19.0
austin king,KingAu20,c,299.0,72.0,,,5.42,,,4.73,28.0,106.0,20.0
austin pettis,PettAu00,wr,209.0,72.0,31.75,9.75,4.56,,6.68,3.88,33.5,120.0,14.0
austin seferian-jenkins,SefeAu00,te,262.0,72.0,33.75,9.75,4.56,,,,37.5,,20.0
