player_name,pfr_id,weight_lbs,height_in,arm_length_in,wing_span_in,hand_size_in,yard_40_dash_sec,yard_60_shuttle_sec,yard_10_split_sec,yard_20_split_sec,cone_drill_sec,yard_20_shuttle_sec,vert_jump_in,broad_jump_in,bench_press_reps,gsis_id,position,position_group,def_pos_flag,off_pos_flag,missing_weight_lbs,missing_height_in,missing_arm_length_in,missing_wing_span_in,missing_hand_size_in,missing_yard_40_dash_sec,missing_yard_60_shuttle_sec,missing_yard_10_split_sec,missing_yard_20_split_sec,missing_cone_drill_sec,missing_yard_20_shuttle_sec,missing_vert_jump_in,missing_broad_jump_in,missing_bench_press_reps
adrian madise,MadiAd00,215.0,71.0,,,,4.49,,,,,4.26,32.0,119.0,,00-0021921,wr,wr,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1
adrian peterson,PeteAd01,220.0,73.0,32.25,,9.5,4.4,,1.53,2.58,7.09,4.4,38.5,127.0,,00-0025394,rb,rb,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
adrian peterson,PeteAd00,212.0,70.0,,,,4.68,,,,,4.6,34.0,119.0,14.0,00-0021306,rb,rb,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
adrien clarke,ClarAd20,330.0,77.0,,,,5.52,,,,,4.79,26.0,102.0,,00-0022709,g,ol,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1
adrien robinson,RobiAd00,264.0,76.0,,,,4.56,,1.61,,7.1,4.43,39.5,135.0,15.0,00-0029281,te,te,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0
ahkello witherspoon,WithAh00,195.0,74.0,33.0,,9.875,4.45,11.6,,,6.93,4.13,40.5,127.0,,00-0033783,cb,db,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
ahmad bradshaw,BradAh00,217.0,70.0,,,,4.55,,,,,4.09,34.0,112.0,,00-0025637,rb,rb,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1
aidan o'connell,OConAi00,206.0,75.0,32.25,,9.75,,,,,,,,,,00-0038579,qb,qb,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1
ainias smith,SmitAi00,176.0,69.0,29.0,70.25,8.5,,,,,,,,,21.0,00-0039747,wr,wr,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0
airese currie,CurrAi00,185.0,71.0,,,,4.49,,,,,4.07,38.0,125.0,,00-0023574,wr,wr,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1
aj dillon,DillAJ00,247.0,72.0,31.625,,9.625,4.53,,,,7.19,,41.0,131.0,23.0,00-0036265,rb,rb,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0
akayleb evans,EvanAk00,198.0,74.0,32.0,74.75,8.75,4.46,,1.53,,,,36.0,129.0,,00-0038101,cb,db,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1
akeem davis-gaither,DaviAk01,238.0,74.0,31.125,,9.5,,,,,,,,,21.0,00-0036298,lb,lb,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0
akeem spence,SpenAk00,307.0,73.0,33.5,,10.0,5.15,,1.67,,7.82,4.72,30.0,107.0,37.0,00-0030402,dt,dl,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
akili smith,SmitAk00,220.0,75.0,,,,4.66,,,,,4.29,34.0,114.0,,00-0015082,qb,qb,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1
al woods,WoodAl99,309.0,77.0,36.0,,11.0,5.15,,,,,4.67,37.0,109.0,,00-0027723,dt,dl,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1
alan bonner,BonnAl00,191.0,70.0,30.25,,9.375,4.59,,1.63,,,4.15,33.0,117.0,14.0,00-0030105,wr,wr,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0
alan harper,HarpAl20,285.0,73.0,,,,5.27,,,,,4.64,30.5,104.0,,00-0021240,dt,dl,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1
albert okwuegbunam,OkwuAl00,258.0,77.0,34.125,,10.25,4.49,,,,,,,,,00-0036423,te,te,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1
aldrick robinson,RobiAl00,187.0,70.0,29.5,,8.75,4.35,11.01,,,6.65,4.09,40.0,126.0,17.0,00-0028116,wr,wr,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
alec pierce,PierAl00,211.0,75.0,33.0,78.5,9.0,4.41,,1.58,,7.13,4.28,40.5,129.0,,00-0037664,wr,wr,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
alex bannister,BannAl00,207.0,77.0,,,,4.47,,,,,,30.5,110.0,,00-0020361,wr,wr,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1
alex barron,BarrAl20,316.0,80.0,,,,5.27,,,,,4.57,35.5,,,00-0023454,ot,ol,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1
alex brink,BrinAl00,208.0,74.0,,,,4.96,,,,,4.19,28.0,112.0,,00-0026363,qb,qb,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1
alex carter,CartAl01,201.0,72.0,32.125,,9.125,4.51,11.31,1.6,,7.05,4.07,40.0,121.0,17.0,00-0031563,cb,db,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
alex collins,CollAl00,210.0,70.0,30.25,,9.25,4.59,,1.62,,,,28.5,113.0,18.0,00-0032426,rb,rb,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0
alex forsyth,ForsAl00,312.0,76.0,32.75,,10.25,,,,,,,20.5,95.0,29.0,00-0038649,c,ol,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0
alex green,GreeAl00,220.0,72.0,32.0,,9.125,4.45,,,,,4.15,34.0,114.0,20.0,00-0028034,rb,rb,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0
alex leatherwood,LeatAl00,312.0,77.0,33.875,84.625,9.5,5.01,,1.78,2.94,7.45,4.65,34.5,118.0,,00-0036892,ot,ol,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
alex lewis,LewiAl20,230.0,72.0,,,,4.78,,,,,4.31,34.5,121.0,25.0,00-0022816,olb,lb,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0
alex smith,SmitAl03,215.0,76.0,,,,4.71,,,,,3.97,32.0,113.0,,00-0023436,qb,qb,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1
alex stepanovich,StepAl20,296.0,76.0,,,,5.29,,,,,4.54,25.5,96.0,,00-0022788,c,ol,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1
alexander mattison,MattAl01,220.0,71.0,31.0,76.25,9.125,4.67,11.69,,,7.13,4.29,35.0,127.0,22.0,00-0034972,rb,rb,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
alfonzo dennard,DennAl00,200.0,70.0,30.0,,9.5,4.55,,,,,,37.0,,,00-0029596,cb,db,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1
alfred blue,BlueAl00,225.0,74.0,32.375,,9.875,4.63,,1.56,,7.15,4.5,32.0,121.0,13.0,00-0031075,rb,rb,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
alfred morris,MorrAl00,222.0,70.0,,,,4.67,11.86,,,7.01,4.19,35.0,117.0,16.0,00-0029141,rb,rb,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0
alge crumpler,CrumAl00,275.0,74.0,,,,4.76,,,,,4.43,34.0,112.0,22.0,00-0020285,te,te,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
ali marpet,MarpAl00,307.0,76.0,33.375,,10.0,4.98,,1.74,,7.33,4.47,30.5,108.0,30.0,00-0032243,g,ol,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
alijah vera-tucker,VeraAl00,308.0,77.0,32.125,,9.625,5.13,,1.77,2.95,7.7,4.63,32.0,106.0,32.0,00-0036979,g,ol,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
alim mcneill,McNeAl00,310.0,74.0,32.625,79.0,9.375,5.0,,1.68,2.9,7.68,4.65,30.5,108.0,27.0,00-0036624,dt,dl,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
alize mack,MackAl00,249.0,76.0,33.75,80.125,9.375,4.7,11.93,,,7.27,4.34,36.0,120.0,22.0,00-0035309,te,te,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
allen barbre,BarbAl20,310.0,76.0,,,,4.84,,,,,4.63,32.0,105.0,28.0,00-0025506,ot,ol,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
allen robinson,RobiAl02,220.0,74.0,32.0,,9.5,4.6,11.36,1.54,,7.0,4.0,39.0,127.0,,00-0031428,wr,wr,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
alontae taylor,TaylAl01,199.0,73.0,32.25,74.75,9.125,4.36,,1.5,,,,35.0,128.0,,00-0038121,cb,db,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1
alshon jeffery,JeffAl00,218.0,75.0,33.0,,10.25,4.48,,1.64,2.63,6.71,4.17,36.5,122.0,,00-0029137,wr,wr,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
alvin bowen,BoweAl99,222.0,73.0,,,,4.79,,,,,4.3,34.0,119.0,15.0,00-0026287,olb,lb,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0
alvin kamara,KamaAl00,215.0,70.0,32.75,,9.25,4.56,,,,,,39.5,131.0,15.0,00-0033906,rb,rb,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0
alvin mckinley,McKiAl20,294.0,75.0,,,,5.09,,,,,4.61,27.5,102.0,22.0,00-0019475,dt,dl,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0
alvin pearman,PearAl00,204.0,70.0,,,,4.63,,,,,4.1,34.0,114.0,24.0,00-0023561,rb,rb,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
amani oruwariye,OruwAm00,200.0,74.0,31.375,75.25,9.0,4.47,,,,6.82,4.16,36.5,120.0,17.0,00-0035270,cb,db,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
amara darboh,DarbAm00,215.0,74.0,32.625,,9.875,4.45,,,,,,36.0,124.0,17.0,00-0033937,wr,wr,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0
amari cooper,CoopAm00,210.0,73.0,31.5,,10.0,4.42,,1.62,,6.71,3.98,33.0,120.0,,00-0031544,wr,wr,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
amari rodgers,RodgAm00,212.0,69.0,30.375,74.875,9.5,4.52,,1.65,2.62,7.07,4.31,33.0,121.0,19.0,00-0036991,wr,wr,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
amarius mims,MimsAm00,350.0,80.0,36.125,86.75,11.25,,,,,,,25.5,111.0,,00-0039925,ot,ol,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1
ambry thomas,ThomAm00,190.0,72.0,32.25,76.5,8.625,4.41,,1.58,2.57,,,38.0,122.0,15.0,00-0037008,cb,db,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
ameer abdullah,AbduAm00,203.0,69.0,30.0,,8.625,4.6,11.18,1.61,,6.79,3.95,42.5,130.0,24.0,00-0032104,rb,rb,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
amik robertson,RobeAm00,183.0,69.0,30.25,,9.0,,,,,,,,,,00-0036375,cb,db,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
amobi okoye,OkoyAm99,310.0,74.0,,,,5.07,,,,,,30.0,111.0,29.0,00-0025397,dt,dl,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0
amon-ra st. brown,StxxAm00,202.0,72.0,30.375,74.625,9.125,4.61,,1.63,2.64,6.9,4.26,38.5,127.0,20.0,00-0036963,wr,wr,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
amos zereoue,ZereAm00,205.0,68.0,,,,4.53,,,,,4.09,,,,00-0018501,rb,rb,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1
andre  williams,WillAn00,220.0,72.0,33.5,,9.0,4.56,11.62,1.56,,7.27,4.06,38.0,129.0,,00-0031055,rb,rb,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
andre brown,BrowAn03,227.0,72.0,,,,4.37,,,,,4.33,37.0,115.0,24.0,00-0027094,rb,rb,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
andre caldwell,CaldAn00,200.0,72.0,,,,4.35,,,,,4.11,33.0,124.0,,00-0026237,wr,wr,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1
andre dillard,DillAn00,315.0,77.0,33.5,80.375,10.0,4.96,,,,7.44,4.4,29.0,118.0,24.0,00-0035233,ot,ol,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
andre ellington,ElliAn00,199.0,69.0,31.0,,9.375,4.61,,1.56,,,,34.0,122.0,,00-0030287,rb,rb,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1
andre johnson,JohnAn02,229.0,75.0,,,,4.4,,,,,4.1,39.0,132.0,17.0,00-0022044,wr,wr,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
andre king,KingAn00,195.0,71.0,,,,4.61,,,,,,35.5,,,00-0020415,wr,wr,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1
andre roberts,RobeAn00,195.0,71.0,31.5,,9.5,4.4,,1.52,2.58,6.77,4.15,36.0,120.0,15.0,00-0027691,wr,wr,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
andre' davis,DaviAn01,200.0,73.0,,,,4.42,,,,,4.1,39.5,123.0,,00-0021175,wr,wr,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1
andrei iosivas,IosiAn00,210.0,75.0,32.0,,8.75,4.43,,1.52,,6.85,4.12,39.0,128.0,19.0,00-0038619,wr,wr,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
andrew billings,BillAn00,340.0,73.0,33.0,,10.0,5.05,,1.77,,8.05,4.82,27.5,113.0,31.0,00-0033066,dt,dl,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
andrew booth jr.,BootAn00,194.0,72.0,31.5,76.875,9.375,,,,,,,,,,00-0038130,cb,db,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
andrew datko,DatkAn00,315.0,78.0,33.875,,10.0,5.32,,,,7.71,4.54,29.0,100.0,,00-0029313,ot,ol,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1
andrew donnal,DonnAn00,305.0,78.0,33.5,,10.0,5.31,,1.78,,7.84,4.77,32.0,101.0,17.0,00-0032246,ot,ol,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
andrew jackson,JackAn00,299.0,77.0,32.5,,10.25,5.27,,,,,4.65,28.0,98.0,25.0,00-0028148,g,ol,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0
andrew luck,LuckAn00,240.0,76.0,32.625,,10.0,4.67,,,,6.8,4.28,36.0,124.0,,00-0029668,qb,qb,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1
andrew quarless,QuarAn00,252.0,76.0,34.0,,10.25,4.68,,1.66,,7.29,4.57,32.0,112.0,23.0,00-0027753,te,te,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
andrew tiller,TillAn01,324.0,76.0,33.25,,9.375,5.5,,,,7.92,4.8,23.0,85.0,16.0,00-0029661,g,ol,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0
andrew vorhees,VorhAn00,320.0,78.0,32.125,,10.0,,,,,,,29.0,105.0,38.0,00-0038383,g,ol,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0
andrew whitworth,WhitAn20,330.0,79.0,,,,5.16,,,,,4.84,30.5,112.0,28.0,00-0024270,ot,ol,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
andy alleman,AlleAn20,310.0,76.0,,,,5.07,,,,,4.65,30.0,106.0,27.0,00-0025475,g,ol,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
andy dalton,DaltAn00,220.0,74.0,31.75,,9.5,4.83,,,,,4.27,29.5,106.0,,00-0027973,qb,qb,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1
andy gallik,GallAn00,306.0,74.0,32.75,,10.25,5.5,,1.87,,7.66,4.58,27.0,96.0,29.0,00-0032118,c,ol,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
andy isabella,IsabAn00,188.0,69.0,29.75,71.5,8.375,4.31,,,,6.95,4.15,36.5,121.0,15.0,00-0035527,wr,wr,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
andy janovich,JanoAn00,238.0,73.0,31.625,,9.75,4.81,11.95,1.62,,7.28,4.32,34.0,119.0,30.0,00-0032956,fb,rb,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
andy levitre,LeviAn20,303.0,74.0,,,,5.33,,,,,4.52,30.5,103.0,23.0,00-0027027,g,ol,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
anfernee jennings,JennAn00,255.0,75.0,32.875,,9.125,,,,,,,,,,00-0036193,lb,lb,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
anquan boldin,BoldAn00,220.0,73.0,,,,4.72,,1.61,2.77,7.35,4.33,33.5,114.0,,00-0022084,wr,wr,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1
anthony adams,AdamAn20,310.0,72.0,,,,5.13,,,,,4.59,30.5,109.0,,00-0022085,dt,dl,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1
anthony alabi,AlabAn20,315.0,77.0,,,,5.12,,,,,4.6,32.5,105.0,18.0,00-0023595,ot,ol,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
anthony allen,AlleAn01,223.0,73.0,30.375,,9.625,4.56,,,,,4.06,41.5,120.0,24.0,00-0028163,rb,rb,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0
anthony averett,AverAn00,184.0,71.0,30.25,71.625,8.5,4.36,,,,6.93,4.4,31.5,119.0,13.0,00-0034265,cb,db,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
anthony barr,BarrAn00,255.0,77.0,33.5,,9.375,4.66,,1.56,,6.82,4.19,34.5,119.0,15.0,00-0031256,olb,lb,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
anthony becht,BechAn00,270.0,78.0,,,,4.78,,,,,4.08,33.5,123.0,,00-0019457,te,te,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1
anthony bradford,BradAn00,335.0,76.0,33.5,,9.5,5.08,,1.74,,7.84,4.8,30.0,106.0,34.0,00-0039020,g,ol,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
anthony brown,BrowAn02,196.0,71.0,31.75,,8.25,4.35,11.19,1.55,,7.03,4.19,35.0,115.0,19.0,00-0033047,cb,db,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
anthony castonzo,CastAn00,307.0,79.0,34.5,,10.625,5.21,,,,,4.4,29.5,105.0,28.0,00-0027960,ot,ol,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0
anthony collins,CollAn21,315.0,77.0,,,,5.54,,,,,4.87,22.5,97.0,26.0,00-0026252,ot,ol,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
anthony davis,DaviAn27,323.0,77.0,34.0,,10.125,5.36,,,,,4.97,33.0,,21.0,00-0027863,ot,ol,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0
anthony dixon,DixoAn00,233.0,73.0,32.625,,9.75,4.67,,,,,4.49,33.0,121.0,15.0,00-0027772,rb,rb,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0
anthony fasano,FasaAn00,258.0,76.0,,,,4.86,,,,,4.34,33.5,,19.0,00-0024268,te,te,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0
anthony gonzalez,GonzAn00,193.0,72.0,31.25,,9.125,4.44,11.45,1.48,2.58,6.54,4.08,38.0,123.0,16.0,00-0025419,wr,wr,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
