team,season,team_avg_height,team_avg_weight,pass_epa,dropbacks,rush_epa,rush_attempts,total_off_plays,off_epa_per_play,pass_epa_allowed,dropbacks_faced,rush_epa_allowed,rush_attempts_faced,total_def_plays,def_epa_per_play,team_qb_epa,off_epa_prior,def_epa_prior,first_season_flag,net_epa_per_play
LV,2025,74.32954545454545,248.39583333333334,-99.04738058990782,600.0,-96.84002493454122,370.0,970.0,-0.20194577889118456,58.54552788328182,594.0,-37.51055236595513,512.0,1106.0,0.019018965205539504,-0.18695640680400075,-0.1346452517103833,0.01992509748683554,0,-0.22096474409672406
MIA,1999,73.7536231884058,238.82608695652175,-64.31743431350785,618.0,-67.25236083544766,446.0,1064.0,-0.12365582250841683,-44.822454405066075,516.0,-68.94545079580826,413.0,929.0,-0.12246276124959563,,,,1,-0.0011930612588212097
MIA,2000,73.89393939393939,242.22727272727272,20.30529355608596,427.0,-53.1937808485104,459.0,886.0,-0.03712018881763481,-68.33251332833122,545.0,-45.15220172822631,397.0,942.0,-0.12047209666301223,,-0.12365582250841683,-0.12246276124959563,0,0.08335190784537741
MIA,2001,73.73134328358209,245.22388059701493,25.925778585384975,508.0,-31.831076531263687,474.0,982.0,-0.006013541696414167,-18.83514102231713,517.0,-38.57973556538386,454.0,971.0,-0.05912963603264777,,-0.03712018881763481,-0.12047209666301223,0,0.053116094336233606
MIA,2002,73.55,239.48333333333332,14.171087941935557,498.0,-13.33018199808849,530.0,1028.0,0.0008180018909018166,-59.340047447760355,583.0,-36.04899211883174,407.0,990.0,-0.09635256521877988,,-0.006013541696414167,-0.05912963603264777,0,0.09717056710968171
MIA,2003,73.74603174603175,243.44444444444446,-60.49293200169861,482.0,-40.75500497848219,486.0,968.0,-0.10459497621919506,-62.50689597022464,572.0,-76.55623578979355,441.0,1013.0,-0.13727851111551648,,0.0008180018909018166,-0.09635256521877988,0,0.03268353489632142
MIA,2004,73.13888888888889,242.43055555555554,-144.22431416407804,642.0,-60.59002819421092,384.0,1026.0,-0.1996241153589561,-32.13889046059399,469.0,-39.11460656725917,539.0,1008.0,-0.07068799308318767,-0.3104872227918629,-0.10459497621919506,-0.13727851111551648,0,-0.12893612227576845
MIA,2005,73.8030303030303,249.56060606060606,-19.673337853788485,577.0,-33.45359208017369,444.0,1021.0,-0.052034211492617215,1.7627817735723292,596.0,-59.399819135262774,481.0,1077.0,-0.05351628352988899,0.11850657187848508,-0.1996241153589561,-0.07068799308318767,0,0.0014820720372717769
MIA,2006,74.04411764705883,253.11764705882354,-60.180148405818464,637.0,-59.41798457134757,404.0,1041.0,-0.11488773580899715,-25.426000704310532,560.0,-77.17094267055786,461.0,1021.0,-0.10048672220849011,-0.1085134570607444,-0.052034211492617215,-0.05351628352988899,0,-0.014401013600507037
MIA,2007,73.81944444444444,249.54166666666666,-56.939486753827524,606.0,-13.539851718583396,392.0,998.0,-0.07062057963167427,78.73800781802213,457.0,14.116777096678657,545.0,1002.0,0.09266944602265548,-0.3447732235244371,-0.11488773580899715,-0.10048672220849011,0,-0.16329002565432976
MIA,2008,74.44927536231884,252.5072463768116,95.62675822054368,525.0,-19.11433102038925,450.0,975.0,0.07847428430785071,7.113796604741534,610.0,-7.051446504991349,388.0,998.0,6.247504984988513e-05,0.18098479911277968,-0.07062057963167427,0.09266944602265548,0,0.07841180925800083
MIA,2009,74.67692307692307,251.53846153846155,-13.477040813341764,583.0,15.086955398667067,510.0,1093.0,0.0014729319170405332,44.11736077082752,554.0,-10.574424498850174,437.0,991.0,0.03384756435113758,-0.004097792761306245,0.07847428430785071,6.247504984988513e-05,0,-0.03237463243409705
MIA,2010,74.63157894736842,254.05263157894737,-19.97189397833513,618.0,-57.053016132653376,445.0,1063.0,-0.07245993425304657,36.41881052441817,559.0,-58.97977746141025,447.0,1006.0,-0.022426408486075626,-0.0137613237122705,0.0014729319170405332,0.03384756435113758,0,-0.05003352576697095
MIA,2011,74.73134328358209,248.62686567164178,-0.8760724131717792,545.0,-38.1279880601507,469.0,1014.0,-0.03846554287309909,13.071830238782628,654.0,-40.79514306926312,413.0,1067.0,-0.02598248625162183,0.04603954867272624,-0.07245993425304657,-0.022426408486075626,0,-0.012483056621477261
MIA,2012,74.32394366197182,245.09859154929578,-27.152012626591134,554.0,-31.6828702192913,440.0,994.0,-0.059190022983785145,39.708062989118986,668.0,-20.375808138522952,431.0,1099.0,0.017590768744855354,-0.06380729919935015,-0.03846554287309909,-0.02598248625162183,0,-0.0767807917286405
MIA,2013,73.95588235294117,248.05882352941177,1.7939841925587325,663.0,-43.95579620339507,349.0,1012.0,-0.041661869575925235,13.623904341136164,644.0,4.495871908081325,484.0,1128.0,0.016063631426611248,-0.001353646183170025,-0.059190022983785145,0.017590768744855354,0,-0.05772550100253648
MIA,2014,73.70422535211267,244.59154929577466,20.110849531848242,647.0,-30.06787133739857,400.0,1047.0,-0.009510049479990764,26.296463942620026,604.0,-31.690950758453955,454.0,1058.0,-0.005098758805136039,0.03713028337430835,-0.041661869575925235,0.016063631426611248,0,-0.004411290674854725
MIA,2015,74.07042253521126,251.14084507042253,0.4407217759933695,639.0,-33.000191759396365,345.0,984.0,-0.03308889225955589,99.51751961410326,587.0,-37.6815661430569,502.0,1089.0,0.056782326419693635,-0.01080034765155254,-0.009510049479990764,-0.005098758805136039,0,-0.08987121867924952
