pfr_id,gsis_id,position,position_group,def_pos_flag,off_pos_flag,draft_round,draft_pick
PeteAd00,00-0021306,rb,rb,0,1,6.0,199.0
ClarAd20,00-0022709,g,ol,0,1,7.0,227.0
RobiAd00,00-0029281,te,te,0,1,4.0,127.0
WithAh00,00-0033783,cb,db,1,0,3.0,66.0
BradAh00,00-0025637,rb,rb,0,1,7.0,250.0
OConAi00,00-0038579,qb,qb,0,1,4.0,135.0
SmitAi00,00-0039747,wr,wr,0,1,5.0,152.0
CurrAi00,00-0023574,wr,wr,0,1,5.0,140.0
DillAJ00,00-0036265,rb,rb,0,1,2.0,62.0
EvanAk00,00-0038101,cb,db,1,0,4.0,118.0
DaviAk01,00-0036298,lb,lb,1,0,4.0,107.0
SpenAk00,00-0030402,dt,dl,1,0,4.0,100.0
SmitAk00,00-0015082,qb,qb,0,1,1.0,3.0
WoodAl99,00-0027723,dt,dl,1,0,4.0,123.0
BonnAl00,00-0030105,wr,wr,0,1,6.0,195.0
HarpAl20,00-0021240,dt,dl,1,0,4.0,121.0
OkwuAl00,00-0036423,te,te,0,1,4.0,118.0
RobiAl00,00-0028116,wr,wr,0,1,6.0,178.0
PierAl00,00-0037664,wr,wr,0,1,2.0,53.0
BannAl00,00-0020361,wr,wr,0,1,5.0,140.0
BarrAl20,00-0023454,ot,ol,0,1,1.0,19.0
BrinAl00,00-0026363,qb,qb,0,1,7.0,223.0
CartAl01,00-0031563,cb,db,1,0,3.0,80.0
CollAl00,00-0032426,rb,rb,0,1,5.0,171.0
ForsAl00,00-0038649,c,ol,0,1,7.0,257.0
GreeAl00,00-0028034,rb,rb,0,1,3.0,96.0
LeatAl00,00-0036892,ot,ol,0,1,1.0,17.0
LewiAl20,00-0022816,olb,lb,1,0,5.0,140.0
SmitAl03,00-0023436,qb,qb,0,1,1.0,1.0
StepAl20,00-0022788,c,ol,0,1,4.0,100.0
MattAl01,00-0034972,rb,rb,0,1,3.0,102.0
DennAl00,00-0029596,cb,db,1,0,7.0,224.0
BlueAl00,00-0031075,rb,rb,0,1,6.0,181.0
MorrAl00,00-0029141,rb,rb,0,1,6.0,173.0
CrumAl00,00-0020285,te,te,0,1,2.0,35.0
MarpAl00,00-0032243,g,ol,0,1,2.0,61.0
VeraAl00,00-0036979,g,ol,0,1,1.0,14.0
McNeAl00,00-0036624,dt,dl,1,0,3.0,72.0
MackAl00,00-0035309,te,te,0,1,7.0,231.0
BarbAl20,00-0025506,ot,ol,0,1,4.0,119.0
RobiAl02,00-0031428,wr,wr,0,1,2.0,61.0
TaylAl01,00-0038121,cb,db,1,0,2.0,49.0
JeffAl00,00-0029137,wr,wr,0,1,2.0,45.0
BoweAl99,00-0026287,olb,lb,1,0,5.0,147.0
KamaAl00,00-0033906,rb,rb,0,1,3.0,67.0
McKiAl20,00-0019475,dt,dl,1,0,4.0,120.0
PearAl00,00-0023561,rb,rb,0,1,4.0,127.0
OruwAm00,00-0035270,cb,db,1,0,5.0,146.0
DarbAm00,00-0033937,wr,wr,0,1,3.0,106.0
CoopAm00,00-0031544,wr,wr,0,1,1.0,4.0
RodgAm00,00-0036991,wr,wr,0,1,3.0,85.0
MimsAm00,00-0039925,ot,ol,0,1,1.0,18.0
ThomAm00,00-0037008,cb,db,1,0,3.0,102.0
AbduAm00,00-0032104,rb,rb,0,1,2.0,54.0
RobeAm00,00-0036375,cb,db,1,0,4.0,139.0
OkoyAm99,00-0025397,dt,dl,1,0,1.0,10.0
StxxAm00,00-0036963,wr,wr,0,1,4.0,112.0
ZereAm00,00-0018501,rb,rb,0,1,3.0,95.0
WillAn00,00-0031055,rb,rb,0,1,4.0,113.0
BrowAn03,00-0027094,rb,rb,0,1,4.0,129.0
CaldAn00,00-0026237,wr,wr,0,1,3.0,97.0
DillAn00,00-0035233,ot,ol,0,1,1.0,22.0
ElliAn00,00-0030287,rb,rb,0,1,6.0,187.0
JohnAn02,00-0022044,wr,wr,0,1,1.0,3.0
KingAn00,00-0020415,wr,wr,0,1,7.0,245.0
RobeAn00,00-0027691,wr,wr,0,1,3.0,88.0
DaviAn01,00-0021175,wr,wr,0,1,2.0,47.0
IosiAn00,00-0038619,wr,wr,0,1,6.0,206.0
BillAn00,00-0033066,dt,dl,1,0,4.0,122.0
BootAn00,00-0038130,cb,db,1,0,2.0,42.0
DatkAn00,00-0029313,ot,ol,0,1,7.0,241.0
DonnAn00,00-0032246,ot,ol,0,1,4.0,119.0
JackAn00,00-0028148,g,ol,0,1,7.0,210.0
LuckAn00,00-0029668,qb,qb,0,1,1.0,1.0
QuarAn00,00-0027753,te,te,0,1,5.0,154.0
TillAn01,00-0029661,g,ol,0,1,6.0,179.0
VorhAn00,00-0038383,g,ol,0,1,7.0,229.0
WhitAn20,00-0024270,ot,ol,0,1,2.0,55.0
AlleAn20,00-0025475,g,ol,0,1,3.0,88.0
DaltAn00,00-0027973,qb,qb,0,1,2.0,35.0
GallAn00,00-0032118,c,ol,0,1,6.0,208.0
IsabAn00,00-0035527,wr,wr,0,1,2.0,62.0
JanoAn00,00-0032956,fb,rb,0,1,6.0,176.0
LeviAn20,00-0027027,g,ol,0,1,2.0,51.0
JennAn00,00-0036193,lb,lb,1,0,3.0,87.0
BoldAn00,00-0022084,wr,wr,0,1,2.0,54.0
AdamAn20,00-0022085,dt,dl,1,0,2.0,57.0
AlabAn20,00-0023595,ot,ol,0,1,5.0,162.0
AlleAn01,00-0028163,rb,rb,0,1,7.0,225.0
AverAn00,00-0034265,cb,db,1,0,4.0,118.0
BarrAn00,00-0031256,olb,lb,1,0,1.0,9.0
BechAn00,00-0019457,te,te,0,1,1.0,27.0
BradAn00,00-0039020,g,ol,0,1,4.0,108.0
BrowAn02,00-0033047,cb,db,1,0,6.0,189.0
CastAn00,00-0027960,ot,ol,0,1,1.0,22.0
CollAn21,00-0026252,ot,ol,0,1,4.0,112.0
DaviAn27,00-0027863,ot,ol,0,1,1.0,11.0
DixoAn00,00-0027772,rb,rb,0,1,6.0,173.0
FasaAn00,00-0024268,te,te,0,1,2.0,53.0
GonzAn00,00-0025419,wr,wr,0,1,1.0,32.0
GoulAn00,00-0039816,wr,wr,0,1,5.0,142.0
HenrAn20,00-0020329,cb,db,1,0,4.0,97.0
HillAn00,00-0026908,te,te,0,1,4.0,122.0
McCoAn00,00-0027783,te,te,0,1,6.0,185.0
McFaAn00,00-0036336,rb,rb,0,1,4.0,124.0
McFaAn20,00-0010840,dt,dl,1,0,1.0,15.0
MillAn02,00-0034353,wr,wr,0,1,2.0,51.0
RichAn03,00-0039164,qb,qb,0,1,1.0,4.0
SchwAn00,00-0036999,wr,wr,0,1,3.0,91.0
SherAn00,00-0028074,fb,rb,0,1,5.0,136.0
ThomAn01,00-0020403,rb,rb,0,1,2.0,38.0
CasoAn99,00-0026167,cb,db,1,0,1.0,27.0
GreeAn00,00-0038627,wr,wr,0,1,7.0,219.0
WinfAn20,00-0018093,cb,db,1,0,1.0,23.0
HarrAn00,00-0038934,ot,ol,0,1,1.0,27.0
BrowAn04,00-0027793,wr,wr,0,1,6.0,195.0
BryaAn00,00-0021191,wr,wr,0,1,2.0,63.0
CallAn00,00-0034772,wr,wr,0,1,4.0,105.0
CromAn20,00-0024234,cb,db,1,0,1.0,19.0
DingAn20,00-0004321,dt,dl,1,0,7.0,214.0
GandAn00,00-0036340,wr,wr,0,1,4.0,142.0
GarcAn00,00-0033922,ot,ol,0,1,3.0,85.0
JohnAn03,00-0025539,dt,dl,1,0,5.0,152.0
PittAn00,00-0025494,rb,rb,0,1,4.0,107.0
HawtAn20,00-0023608,dt,dl,1,0,6.0,175.0
RandAn00,00-0021190,wr,wr,0,1,2.0,62.0
PeekAn20,00-0022052,olb,lb,1,0,3.0,67.0
TaliAq99,00-0026160,cb,db,1,0,1.0,20.0
StewAr00,00-0033916,wr,wr,0,1,3.0,79.0
SmitAr01,00-0040582,wr,wr,0,1,4.0,110.0
KouaAr00,00-0031942,g,ol,0,1,4.0,112.0
ShieAr00,00-0026265,wr,wr,0,1,4.0,125.0
BattAr00,00-0022064,wr,wr,0,1,6.0,197.0
BennAr00,00-0027654,wr,wr,0,1,2.0,39.0
LyncAr00,00-0031286,te,te,0,1,5.0,155.0
BurnAr00,00-0033103,cb,db,1,0,1.0,25.0
SamuAs00,00-0036617,cb,db,1,0,2.0,47.0
SamuAs20,00-0021956,cb,db,1,0,4.0,120.0
AlleAs99,00-0027058,cb,db,1,0,3.0,86.0
JeanAs00,00-0040122,rb,rb,0,1,1.0,6.0
RichAs00,00-0038601,ot,ol,0,1,5.0,169.0
ElliAt00,00-0023524,dt,dl,1,0,3.0,89.0
TateAu00,00-0034686,wr,wr,0,1,7.0,253.0
EstiAu00,00-0039373,rb,rb,0,1,5.0,147.0
AlliAu00,00-0025533,wr,wr,0,1,5.0,146.0
BlytAu00,00-0032455,c,ol,0,1,7.0,248.0
CollAu00,00-0027092,wr,wr,0,1,4.0,127.0
CorbAu00,00-0034261,g,ol,0,1,2.0,33.0
HoopAu00,00-0032392,te,te,0,1,3.0,81.0
KingAu20,00-0022014,c,ol,0,1,4.0,133.0
PettAu00,00-0028016,wr,wr,0,1,3.0,78.0
SefeAu00,00-0031418,te,te,0,1,2.0,38.0
ShepAu00,00-0031623,ot,ol,0,1,7.0,228.0
WheaAu20,00-0019589,te,te,0,1,5.0,158.0
DensAu00,00-0004200,rb,rb,0,1,7.0,233.0
ColeB.00,00-0029219,qb,qb,0,1,7.0,243.0
CunnB.00,00-0029564,wr,wr,0,1,6.0,183.0
WebbBW00,00-0030403,cb,db,1,0,4.0,114.0
OshiBa20,00-0024395,dt,dl,1,0,6.0,181.0
ZappBa00,00-0038108,qb,qb,0,1,4.0,137.0
MayfBa00,00-0034855,qb,qb,0,1,1.0,1.0
CartBa00,00-0040157,lb,lb,1,0,4.0,119.0
RichBa20,00-0026310,ot,ol,0,1,6.0,170.0
BreeBa00,00-0031052,cb,db,1,0,4.0,102.0
SpecBa00,00-0037318,lb,lb,1,0,7.0,231.0
PascBe00,00-0026931,te,te,0,1,6.0,184.0
SandBe00,00-0032900,te,te,0,1,7.0,252.0
BurrBe00,00-0035143,lb,lb,1,0,5.0,142.0
ClaxBe20,00-0022018,c,ol,0,1,5.0,157.0
ClevBe00,00-0036977,g,ol,0,1,3.0,94.0
GrubBe20,00-0025416,g,ol,0,1,1.0,29.0
HartBe00,00-0022847,te,te,0,1,3.0,68.0
JoneBe01,00-0029413,c,ol,0,1,4.0,99.0
KoyaBe00,00-0032139,te,te,0,1,7.0,229.0
LebeBe20,00-0021197,olb,lb,1,0,3.0,71.0
ObomBe00,00-0024463,wr,wr,0,1,7.0,249.0
PatrBe00,00-0025602,te,te,0,1,7.0,215.0
RoetBe00,00-0022924,qb,qb,0,1,1.0,11.0
SinnBe00,00-0039912,te,te,0,1,2.0,53.0
SobiBe20,00-0021935,g,ol,0,1,5.0,151.0
TateBe00,00-0027890,rb,rb,0,1,2.0,58.0
BenwBe00,00-0031262,cb,db,1,0,5.0,148.0
StJuBe00,00-0036625,cb,db,1,0,3.0,74.0
SkowBe00,00-0036862,wr,wr,0,1,7.0,249.0
JoppBe00,00-0022082,te,te,0,1,2.0,41.0
LogaBe00,00-0030507,dt,dl,1,0,3.0,67.0
SnelBe00,00-0035217,rb,rb,0,1,4.0,122.0
BerrBe00,00-0022807,wr,wr,0,1,3.0,78.0
PierBe00,00-0029264,rb,rb,0,1,3.0,84.0
ScotBe00,00-0026941,rb,rb,0,1,6.0,209.0
JohnBe00,00-0021993,wr,wr,0,1,2.0,45.0
TuteBh00,00-0040719,rb,rb,0,1,4.0,104.0
RobiBi01,00-0038542,rb,rb,0,1,1.0,8.0
NichBi00,00-0034387,dt,dl,1,0,5.0,145.0
PoweBi00,00-0028064,rb,rb,0,1,4.0,126.0
FerrBi20,00-0020353,g,ol,0,1,4.0,105.0
BajeBi00,00-0023679,te,te,0,1,7.0,249.0
PricBi01,00-0034762,c,ol,0,1,1.0,21.0
TurnBi00,00-0031433,ot,ol,0,1,3.0,67.0
SankBi00,00-0031413,rb,rb,0,1,2.0,54.0
JohnOl00,00-0035006,wr,wr,0,1,7.0,247.0
GabbBl00,00-0027948,qb,qb,0,1,1.0,10.0
BrowBl00,00-0033841,lb,lb,1,0,5.0,148.0
BellBl00,00-0032062,te,te,0,1,4.0,117.0
BortBl00,00-0031407,qb,qb,0,1,1.0,3.0
CashBl00,00-0035276,lb,lb,1,0,5.0,157.0
CoruBl00,00-0039738,rb,rb,0,1,3.0,83.0
FishBl00,00-0039857,ot,ol,0,1,2.0,59.0
FreeBl00,00-0039158,ot,ol,0,1,4.0,106.0
MeltBo00,00-0037091,wr,wr,0,1,7.0,229.0
NixxBo00,00-0039732,qb,qb,0,1,1.0,12.0
ScaiBo00,00-0023612,te,te,0,1,6.0,179.0
ScarBo01,00-0034432,rb,rb,0,1,7.0,236.0
BrowBo04,00-0036903,dt,dl,1,0,4.0,117.0
MassBo00,00-0029528,ot,ol,0,1,4.0,112.0
McCaBo01,00-0031587,cb,db,1,0,5.0,145.0
WadeBo00,00-0022144,wr,wr,0,1,5.0,139.0
KeyeTh00,00-0036385,cb,db,1,0,7.0,237.0
BailBo20,00-0022048,olb,lb,1,0,2.0,34.0
BedeBr20,00-0019554,g,ol,0,1,6.0,206.0
CottBr00,00-0026216,te,te,0,1,3.0,76.0
KaayBr00,00-0033585,qb,qb,0,1,6.0,215.0
MeesBr20,00-0018956,c,ol,0,1,2.0,60.0
SoreBr00,00-0030292,qb,qb,0,1,7.0,221.0
FiskBr00,00-0039734,dt,dl,1,0,2.0,39.0
VanPBr00,00-0022774,qb,qb,0,1,7.0,250.0
RobyBr00,00-0031372,cb,db,1,0,1.0,31.0
ChriBr00,00-0036968,ot,ol,0,1,3.0,70.0
QuinBr00,00-0025409,qb,qb,0,1,1.0,22.0
DaniBr00,00-0039010,g,ol,0,1,4.0,118.0
AlleBr05,00-0039794,rb,rb,0,1,4.0,134.0
CookBr00,00-0031236,wr,wr,0,1,1.0,20.0
EchoBr00,00-0036504,cb,db,1,0,6.0,200.0
AiyuBr00,00-0036261,wr,wr,0,1,1.0,25.0
AlleBr00,00-0032434,qb,qb,0,1,6.0,201.0
