passer_player_id,season,passing_epa,qb_epa,dropbacks,epa_per_dropback,qb_epa_per_dropback,epa_per_dropback_prior,rookie_flag,qb_epa_per_dropback_prior,years_experience,draft_round,draft_pick,weight_lbs,height_in,arm_length_in,wing_span_in,hand_size_in,yard_40_dash_sec,yard_60_shuttle_sec,yard_10_split_sec,yard_20_split_sec,cone_drill_sec,yard_20_shuttle_sec,vert_jump_in,broad_jump_in,bench_press_reps,gsis_id,position_group,missing_weight_lbs,missing_height_in,missing_arm_length_in,missing_wing_span_in,missing_hand_size_in,missing_yard_40_dash_sec,missing_yard_60_shuttle_sec,missing_yard_10_split_sec,missing_yard_20_split_sec,missing_cone_drill_sec,missing_yard_20_shuttle_sec,missing_vert_jump_in,missing_broad_jump_in,missing_bench_press_reps
00-0009266,2002,-16.588322852571068,-16.588322852571068,28.0,-0.5924401018775381,-0.5924401018775381,-0.057236468965769324,0,-0.057236468965769324,4,2.0,50.0,228.0,73.0,,,,4.77,,,,,4.29,33.0,113.0,,00-0009266,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0009266,2003,-3.3080432372568627,-3.3080432372568627,25.0,-0.13232172949027451,-0.13232172949027451,-0.5924401018775381,0,-0.5924401018775381,5,2.0,50.0,228.0,73.0,,,,4.77,,,,,4.29,33.0,113.0,,00-0009266,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0009266,2004,-11.247018191723566,-11.247018191723566,90.0,-0.1249668687969285,-0.1249668687969285,-0.13232172949027451,0,-0.13232172949027451,6,2.0,50.0,228.0,73.0,,,,4.77,,,,,4.29,33.0,113.0,,00-0009266,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0011022,1999,-80.25333953850887,-80.25333953850887,242.0,-0.3316253699938383,-0.3316253699938383,0.0,1,0.0,1,1.0,2.0,240.0,74.0,,,,4.64,,,,,4.38,33.0,117.0,,00-0011022,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0011022,2000,2.191113743621891,6.721935257937794,610.0,0.003591989743642444,0.011019565996619334,-0.3316253699938383,0,-0.3316253699938383,2,1.0,2.0,240.0,74.0,,,,4.64,,,,,4.38,33.0,117.0,,00-0011022,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0011022,2001,-9.027145934138902,0.15984404760041304,532.0,-0.016968319425073125,0.000300458736091002,0.003591989743642444,0,0.011019565996619334,3,1.0,2.0,240.0,74.0,,,,4.64,,,,,4.38,33.0,117.0,,00-0011022,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0011022,2002,-8.976592347380258,4.864797035343459,391.0,-0.022958036694067156,0.012441936151773553,-0.016968319425073125,0,0.000300458736091002,4,1.0,2.0,240.0,74.0,,,,4.64,,,,,4.38,33.0,117.0,,00-0011022,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0011022,2003,-7.647999864416036,0.43963827431916536,520.0,-0.014707692046953916,0.0008454582198445488,-0.022958036694067156,0,0.012441936151773553,5,1.0,2.0,240.0,74.0,,,,4.64,,,,,4.38,33.0,117.0,,00-0011022,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0011022,2004,110.65725244753214,119.80361310226529,502.0,0.22043277379986484,0.23865261574156432,-0.014707692046953916,0,0.0008454582198445488,6,1.0,2.0,240.0,74.0,,,,4.64,,,,,4.38,33.0,117.0,,00-0011022,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0011022,2005,13.488067675135271,17.889422881286766,375.0,0.03596818046702739,0.047705127683431374,0.22043277379986484,0,0.23865261574156432,7,1.0,2.0,240.0,74.0,,,,4.64,,,,,4.38,33.0,117.0,,00-0011022,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0011022,2006,25.216786754625545,37.50021229750074,335.0,0.07527399031231506,0.11194093223134549,0.03596818046702739,0,0.047705127683431374,8,1.0,2.0,240.0,74.0,,,,4.64,,,,,4.38,33.0,117.0,,00-0011022,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0011022,2007,25.663899526327683,34.88797220632138,517.0,0.0496400377685255,0.06748157099868739,0.07527399031231506,0,0.11194093223134549,9,1.0,2.0,240.0,74.0,,,,4.64,,,,,4.38,33.0,117.0,,00-0011022,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0011022,2008,53.88933403002993,61.485442667314416,590.0,0.09133785428818632,0.10421261469036341,0.0496400377685255,0,0.06748157099868739,10,1.0,2.0,240.0,74.0,,,,4.64,,,,,4.38,33.0,117.0,,00-0011022,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0011022,2009,35.519182611891395,40.02525225391737,479.0,0.07415278207075447,0.08356002558229096,0.09133785428818632,0,0.10421261469036341,11,1.0,2.0,240.0,74.0,,,,4.64,,,,,4.38,33.0,117.0,,00-0011022,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
