rusher_player_id,season,rushing_epa,rush_attempts,epa_per_rush,epa_per_rush_prior,rookie_flag,years_experience,draft_round,draft_pick,weight_lbs,height_in,arm_length_in,wing_span_in,hand_size_in,yard_40_dash_sec,yard_60_shuttle_sec,yard_10_split_sec,yard_20_split_sec,cone_drill_sec,yard_20_shuttle_sec,vert_jump_in,broad_jump_in,bench_press_reps,gsis_id,position_group,missing_weight_lbs,missing_height_in,missing_arm_length_in,missing_wing_span_in,missing_hand_size_in,missing_yard_40_dash_sec,missing_yard_60_shuttle_sec,missing_yard_10_split_sec,missing_yard_20_split_sec,missing_cone_drill_sec,missing_yard_20_shuttle_sec,missing_vert_jump_in,missing_broad_jump_in,missing_bench_press_reps
00-0032063,2015,-11.105597207642859,35.0,-0.31730277736122453,0.0,1,1,4.0,126.0,223.0,69.0,30.25,,9.375,4.61,11.65,1.58,,7.0,4.18,34.0,116.0,17.0,00-0032063,rb,0,0,0,1,0,0,0,0,1,0,0,0,0,0
00-0032063,2017,-19.515430414340948,68.0,-0.28699162374030807,-0.5487061770522574,0,3,4.0,126.0,223.0,69.0,30.25,,9.375,4.61,11.65,1.58,,7.0,4.18,34.0,116.0,17.0,00-0032063,rb,0,0,0,1,0,0,0,0,1,0,0,0,0,0
00-0032063,2018,2.3521171805418524,112.0,0.02100104625483797,-0.28699162374030807,0,4,4.0,126.0,223.0,69.0,30.25,,9.375,4.61,11.65,1.58,,7.0,4.18,34.0,116.0,17.0,00-0032063,rb,0,0,0,1,0,0,0,0,1,0,0,0,0,0
00-0032063,2020,-19.472752833105897,165.0,-0.11801668383700543,-0.6510663844216373,0,6,4.0,126.0,223.0,69.0,30.25,,9.375,4.61,11.65,1.58,,7.0,4.18,34.0,116.0,17.0,00-0032063,rb,0,0,0,1,0,0,0,0,1,0,0,0,0,0
00-0032063,2021,-17.808107149001444,138.0,-0.129044254702909,-0.11801668383700543,0,7,4.0,126.0,223.0,69.0,30.25,,9.375,4.61,11.65,1.58,,7.0,4.18,34.0,116.0,17.0,00-0032063,rb,0,0,0,1,0,0,0,0,1,0,0,0,0,0
00-0032104,2015,-15.127719461277591,143.0,-0.10578824798096217,0.0,1,1,2.0,54.0,203.0,69.0,30.0,,8.625,4.6,11.18,1.61,,6.79,3.95,42.5,130.0,24.0,00-0032104,rb,0,0,0,1,0,0,0,0,1,0,0,0,0,0
00-0032104,2017,-36.828167257714085,165.0,-0.22320101368311568,0.07189569556632908,0,3,2.0,54.0,203.0,69.0,30.0,,8.625,4.6,11.18,1.61,,6.79,3.95,42.5,130.0,24.0,00-0032104,rb,0,0,0,1,0,0,0,0,1,0,0,0,0,0
00-0032104,2019,-3.6552155332303053,23.0,-0.15892241448827416,-0.4378723145928234,0,5,2.0,54.0,203.0,69.0,30.0,,8.625,4.6,11.18,1.61,,6.79,3.95,42.5,130.0,24.0,00-0032104,rb,0,0,0,1,0,0,0,0,1,0,0,0,0,0
00-0032104,2021,-10.994161704570974,51.0,-0.21557179812884264,0.2374088883116202,0,7,2.0,54.0,203.0,69.0,30.0,,8.625,4.6,11.18,1.61,,6.79,3.95,42.5,130.0,24.0,00-0032104,rb,0,0,0,1,0,0,0,0,1,0,0,0,0,0
00-0032104,2024,-7.581538221371561,66.0,-0.11487179123290245,0.17350837721511927,0,10,2.0,54.0,203.0,69.0,30.0,,8.625,4.6,11.18,1.61,,6.79,3.95,42.5,130.0,24.0,00-0032104,rb,0,0,0,1,0,0,0,0,1,0,0,0,0,0
00-0032133,2015,-10.462511469318997,52.0,-0.20120214364074995,0.0,1,1,5.0,138.0,229.0,71.0,31.625,,9.375,4.81,,,,,,38.5,121.0,17.0,00-0032133,rb,0,0,0,1,0,0,1,1,1,1,1,0,0,0
00-0032144,2015,-44.618104230758036,184.0,-0.24248969690629368,0.0,1,1,1.0,15.0,215.0,73.0,32.375,,9.75,4.52,11.0,1.63,,7.04,4.07,35.0,126.0,19.0,00-0032144,rb,0,0,0,1,0,0,0,0,1,0,0,0,0,0
00-0032144,2016,-20.96990195158815,254.0,-0.08255866910074075,-0.24248969690629368,0,2,1.0,15.0,215.0,73.0,32.375,,9.75,4.52,11.0,1.63,,7.04,4.07,35.0,126.0,19.0,00-0032144,rb,0,0,0,1,0,0,0,0,1,0,0,0,0,0
00-0032144,2017,-23.05994982329997,284.0,-0.08119700642007031,-0.08255866910074075,0,3,1.0,15.0,215.0,73.0,32.375,,9.75,4.52,11.0,1.63,,7.04,4.07,35.0,126.0,19.0,00-0032144,rb,0,0,0,1,0,0,0,0,1,0,0,0,0,0
00-0032144,2018,12.24236321209185,176.0,0.06955888188688551,-0.08119700642007031,0,4,1.0,15.0,215.0,73.0,32.375,,9.75,4.52,11.0,1.63,,7.04,4.07,35.0,126.0,19.0,00-0032144,rb,0,0,0,1,0,0,0,0,1,0,0,0,0,0
