receiver_player_id,season,receiving_epa,targets,epa_per_target,epa_per_target_prior,rookie_flag,years_experience,draft_round,draft_pick,weight_lbs,height_in,arm_length_in,wing_span_in,hand_size_in,yard_40_dash_sec,yard_60_shuttle_sec,yard_10_split_sec,yard_20_split_sec,cone_drill_sec,yard_20_shuttle_sec,vert_jump_in,broad_jump_in,bench_press_reps,gsis_id,position_group,missing_weight_lbs,missing_height_in,missing_arm_length_in,missing_wing_span_in,missing_hand_size_in,missing_yard_40_dash_sec,missing_yard_60_shuttle_sec,missing_yard_10_split_sec,missing_yard_20_split_sec,missing_cone_drill_sec,missing_yard_20_shuttle_sec,missing_vert_jump_in,missing_broad_jump_in,missing_bench_press_reps
00-0020397,2011,7.313057675123755,32,0.22853305234761734,0.21819480928944127,0,11,2.0,36.0,192.0,73.0,,,,4.57,,,,,4.14,33.0,108.0,,00-0020397,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020425,2002,-1.8853424266608871,33,-0.057131588686693546,0.15088498502154837,0,2,7.0,229.0,195.0,73.0,,,,4.34,,,,,,39.0,,,00-0020425,wr,0,0,1,1,1,0,1,1,1,1,1,0,1,1
00-0020427,2001,-10.934852612968855,72,-0.15187295295790076,0.0,1,1,2.0,33.0,215.0,73.0,,,,4.48,,,,,,33.0,,,00-0020427,wr,0,0,1,1,1,0,1,1,1,1,1,0,1,1
00-0020427,2002,27.24681562624821,97,0.2808950064561671,-0.15187295295790076,0,2,2.0,33.0,215.0,73.0,,,,4.48,,,,,,33.0,,,00-0020427,wr,0,0,1,1,1,0,1,1,1,1,1,0,1,1
00-0020427,2003,38.881940447536294,39,0.9969728319881102,0.2808950064561671,0,3,2.0,33.0,215.0,73.0,,,,4.48,,,,,,33.0,,,00-0020427,wr,0,0,1,1,1,0,1,1,1,1,1,0,1,1
00-0020427,2004,27.964634071980505,31,0.9020849700638872,0.9969728319881102,0,4,2.0,33.0,215.0,73.0,,,,4.48,,,,,,33.0,,,00-0020427,wr,0,0,1,1,1,0,1,1,1,1,1,0,1,1
00-0020428,2002,8.178432402700032,52,0.15727754620576986,0.0,1,1,2.0,41.0,219.0,73.0,,,,4.48,,,,,4.07,36.5,120.0,,00-0020428,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020428,2003,50.836500478820476,38,1.3378026441794861,0.15727754620576986,0,2,2.0,41.0,219.0,73.0,,,,4.48,,,,,4.07,36.5,120.0,,00-0020428,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020428,2004,32.271855698185504,25,1.2908742279274201,1.3378026441794861,0,3,2.0,41.0,219.0,73.0,,,,4.48,,,,,4.07,36.5,120.0,,00-0020428,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020428,2005,37.98160052530886,28,1.356485733046745,1.2908742279274201,0,4,2.0,41.0,219.0,73.0,,,,4.48,,,,,4.07,36.5,120.0,,00-0020428,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020428,2007,28.91635225486243,32,0.903636007964451,1.1726348849189125,0,6,2.0,41.0,219.0,73.0,,,,4.48,,,,,4.07,36.5,120.0,,00-0020428,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020446,2001,36.599848027444644,90,0.4066649780827183,0.0,1,1,2.0,52.0,210.0,71.0,,,,4.33,,,,,4.0,45.0,134.0,,00-0020446,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020446,2002,18.587435833658372,100,0.18587435833658372,0.4066649780827183,0,2,2.0,52.0,210.0,71.0,,,,4.33,,,,,4.0,45.0,134.0,,00-0020446,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020446,2003,90.38649530670955,65,1.39056146625707,0.18587435833658372,0,3,2.0,52.0,210.0,71.0,,,,4.33,,,,,4.0,45.0,134.0,,00-0020446,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020446,2004,82.54732164588985,71,1.1626383330407022,1.39056146625707,0,4,2.0,52.0,210.0,71.0,,,,4.33,,,,,4.0,45.0,134.0,,00-0020446,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020446,2005,105.51998696840019,82,1.286829109370734,1.1626383330407022,0,5,2.0,52.0,210.0,71.0,,,,4.33,,,,,4.0,45.0,134.0,,00-0020446,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020446,2006,56.2520348017572,61,0.9221645049468393,1.286829109370734,0,6,2.0,52.0,210.0,71.0,,,,4.33,,,,,4.0,45.0,134.0,,00-0020446,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020446,2007,88.86066531306456,66,1.3463737168646146,0.9221645049468393,0,7,2.0,52.0,210.0,71.0,,,,4.33,,,,,4.0,45.0,134.0,,00-0020446,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020446,2008,40.5518532376592,34,1.1927015658135058,1.3463737168646146,0,8,2.0,52.0,210.0,71.0,,,,4.33,,,,,4.0,45.0,134.0,,00-0020446,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020446,2009,10.214408064686666,92,0.1110261746161594,1.1927015658135058,0,9,2.0,52.0,210.0,71.0,,,,4.33,,,,,4.0,45.0,134.0,,00-0020446,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020446,2010,0.12654982492084166,43,0.00294301918420562,0.1110261746161594,0,10,2.0,52.0,210.0,71.0,,,,4.33,,,,,4.0,45.0,134.0,,00-0020446,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020452,2002,15.137761172708906,22,0.6880800533049503,0.0,1,1,6.0,169.0,183.0,70.0,,,,4.48,,,,,,38.0,123.0,,00-0020452,wr,0,0,1,1,1,0,1,1,1,1,1,0,0,1
