defender_id,season,total_def_epa,plays,def_epa_per_play,def_epa_per_play_prior,rookie_flag,years_experience,draft_round,draft_pick,weight_lbs,height_in,arm_length_in,wing_span_in,hand_size_in,yard_40_dash_sec,yard_60_shuttle_sec,yard_10_split_sec,yard_20_split_sec,cone_drill_sec,yard_20_shuttle_sec,vert_jump_in,broad_jump_in,bench_press_reps,gsis_id,position_group,missing_weight_lbs,missing_height_in,missing_arm_length_in,missing_wing_span_in,missing_hand_size_in,missing_yard_40_dash_sec,missing_yard_60_shuttle_sec,missing_yard_10_split_sec,missing_yard_20_split_sec,missing_cone_drill_sec,missing_yard_20_shuttle_sec,missing_vert_jump_in,missing_broad_jump_in,missing_bench_press_reps
00-0020329,2004,-30.98049044946739,67,-0.4623953798427968,-0.3536897412634598,0,4,4.0,97.0,207.0,73.0,,,,4.6,,,,,4.21,41.0,126.0,15.0,00-0020329,db,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0020329,2005,-13.109384548821254,50,-0.2621876909764251,-0.4623953798427968,0,5,4.0,97.0,207.0,73.0,,,,4.6,,,,,4.21,41.0,126.0,15.0,00-0020329,db,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0020329,2006,-37.678625083224404,90,-0.4186513898136045,-0.2621876909764251,0,6,4.0,97.0,207.0,73.0,,,,4.6,,,,,4.21,41.0,126.0,15.0,00-0020329,db,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0020329,2007,-12.185623972385656,37,-0.3293411884428556,-0.4186513898136045,0,7,4.0,97.0,207.0,73.0,,,,4.6,,,,,4.21,41.0,126.0,15.0,00-0020329,db,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0020329,2008,-19.427206844961223,42,-0.46255254392764816,-0.3293411884428556,0,8,4.0,97.0,207.0,73.0,,,,4.6,,,,,4.21,41.0,126.0,15.0,00-0020329,db,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0020329,2009,-11.704206824215362,40,-0.29260517060538405,-0.46255254392764816,0,9,4.0,97.0,207.0,73.0,,,,4.6,,,,,4.21,41.0,126.0,15.0,00-0020329,db,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0020360,2002,6.288244379312647,38,0.16548011524506964,-0.9615156460553408,0,2,4.0,104.0,236.0,75.0,,,,4.7,,,,,,,,16.0,00-0020360,lb,0,0,1,1,1,0,1,1,1,1,1,1,1,0
00-0020360,2004,0.22437690334987526,28,0.008013460833924116,0.07279715388514367,0,4,4.0,104.0,236.0,75.0,,,,4.7,,,,,,,,16.0,00-0020360,lb,0,0,1,1,1,0,1,1,1,1,1,1,1,0
00-0020360,2005,6.874318517778018,41,0.167666305311659,0.008013460833924116,0,5,4.0,104.0,236.0,75.0,,,,4.7,,,,,,,,16.0,00-0020360,lb,0,0,1,1,1,0,1,1,1,1,1,1,1,0
00-0020360,2006,3.626108199765439,49,0.07400220815847836,0.167666305311659,0,6,4.0,104.0,236.0,75.0,,,,4.7,,,,,,,,16.0,00-0020360,lb,0,0,1,1,1,0,1,1,1,1,1,1,1,0
